Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1690899091.5095675,17491,1690899091,509485346,world,3.5812463760375977,3.7383620738983154,0.2918034493923187,0.008867631666362286,-0.01021585427224636,-0.02662176638841629,-0.9995540380477905
1690899091.5196958,17492,1690899091,519545857,world,3.5803399085998535,3.7380940914154053,0.2924080491065979,0.009479779750108719,0.0020092763006687164,-0.02580937184393406,-0.9996199607849121
1690899091.529583,17493,1690899091,529488605,world,3.5802454948425293,3.738077402114868,0.2924250066280365,0.00942721962928772,0.0030362214893102646,-0.025981871411204338,-0.999613344669342
1690899091.5395248,17494,1690899091,539472531,world,3.5804269313812256,3.738114356994629,0.2923557460308075,0.009771489538252354,0.0009162523201666772,-0.026024244725704193,-0.9996131062507629
1690899091.549686,17495,1690899091,549497437,world,3.5801026821136475,3.7380247116088867,0.2924591302871704,0.009466477669775486,0.0030292600858956575,-0.025849349796772003,-0.9996164441108704
1690899091.5595617,17496,1690899091,559486389,world,3.580031633377075,3.7379708290100098,0.2924939692020416,0.00943638663738966,0.003454867284744978,-0.025875147432088852,-0.9996147751808167
1690899091.5695524,17497,1690899091,569487259,world,3.5799379348754883,3.7379488945007324,0.2925487160682678,0.009554794058203697,0.0036799428053200245,-0.025467948988080025,-0.9996232390403748
1690899091.579549,17498,1690899091,579489391,world,3.579892158508301,3.7379705905914307,0.2925601303577423,0.00940111093223095,0.0038133375346660614,-0.02572578750550747,-0.9996175765991211
1690899091.5895507,17499,1690899091,589486144,world,3.5797975063323975,3.737868547439575,0.2926413118839264,0.009380375035107136,0.004035072401165962,-0.02533060498535633,-0.9996269941329956
1690899091.5995626,17500,1690899091,599486324,world,3.579918622970581,3.73796010017395,0.2926091253757477,0.009837563149631023,0.0012625533854588866,-0.025247514247894287,-0.9996320605278015
1690899091.6095817,17501,1690899091,609496946,world,3.579667568206787,3.7378363609313965,0.29266297817230225,0.009555380791425705,0.00359576428309083,-0.025130126625299454,-0.9996320605278015
1690899091.619524,17502,1690899091,619456677,world,3.580641746520996,3.7381906509399414,0.29175886511802673,0.007657679263502359,-0.012034520506858826,-0.02635282464325428,-0.9995509386062622
